ReT,V
50.3655,-1.99638e-07
50.3675,-1.99206e-07
50.3695,-1.98775e-07
50.3715,-1.98344e-07
50.3735,-1.97913e-07
50.3755,-1.97482e-07
50.3775,-1.97051e-07
50.3795,-1.96621e-07
50.3815,-1.9619e-07
50.3835,-1.9576e-07
50.3855,-1.9533e-07
50.3875,-1.949e-07
50.3895,-1.9447e-07
50.3915,-1.9404e-07
50.3935,-1.9361e-07
50.3955,-1.93181e-07
50.3975,-1.92751e-07
50.3995,-1.92322e-07
50.4015,-1.91893e-07
50.4035,-1.91464e-07
50.4055,-1.91035e-07
50.4075,-1.90607e-07
50.4095,-1.90178e-07
50.4115,-1.89749e-07
50.4135,-1.89321e-07
50.4155,-1.88893e-07
50.4175,-1.88465e-07
50.4195,-1.88037e-07
50.4215,-1.87609e-07
50.4235,-1.87181e-07
50.4255,-1.86754e-07
50.4275,-1.86327e-07
50.4296,-1.85899e-07
50.4316,-1.85472e-07
50.4336,-1.85045e-07
50.4356,-1.84618e-07
50.4376,-1.84192e-07
50.4396,-1.83765e-07
50.4416,-1.83338e-07
50.4436,-1.82912e-07
50.4456,-1.82486e-07
50.4476,-1.8206e-07
50.4496,-1.81634e-07
50.4516,-1.81208e-07
50.4536,-1.80782e-07
50.4556,-1.80357e-07
50.4576,-1.79931e-07
50.4596,-1.79506e-07
50.4616,-1.79081e-07
50.4636,-1.78656e-07
50.4656,-1.78231e-07
50.4676,-1.77806e-07
50.4696,-1.77381e-07
50.4716,-1.76957e-07
50.4736,-1.76533e-07
50.4756,-1.76108e-07
50.4776,-1.75684e-07
50.4796,-1.7526e-07
50.4816,-1.74836e-07
50.4836,-1.74413e-07
50.4856,-1.73989e-07
50.4876,-1.73566e-07
50.4896,-1.73142e-07
50.4916,-1.72719e-07
50.4936,-1.72296e-07
50.4956,-1.71873e-07
50.4976,-1.7145e-07
50.4996,-1.71028e-07
50.5016,-1.70605e-07
50.5036,-1.70183e-07
50.5056,-1.6976e-07
50.5076,-1.69338e-07
50.5096,-1.68916e-07
50.5116,-1.68494e-07
50.5136,-1.68072e-07
50.5156,-1.67651e-07
50.5176,-1.67229e-07
50.5196,-1.66808e-07
50.5216,-1.66387e-07
50.5236,-1.65966e-07
50.5256,-1.65545e-07
50.5276,-1.65124e-07
50.5297,-1.64703e-07
50.5317,-1.64282e-07
50.5337,-1.63862e-07
50.5357,-1.63442e-07
50.5377,-1.63021e-07
50.5397,-1.62601e-07
50.5417,-1.62181e-07
50.5437,-1.61762e-07
50.5457,-1.61342e-07
50.5477,-1.60922e-07
50.5497,-1.60503e-07
50.5517,-1.60084e-07
50.5537,-1.59664e-07
50.5557,-1.59245e-07
50.5577,-1.58827e-07
50.5597,-1.58408e-07
50.5617,-1.57989e-07
50.5637,-1.57571e-07
50.5657,-1.57152e-07
50.5677,-1.56734e-07
50.5697,-1.56316e-07
50.5717,-1.55898e-07
50.5737,-1.5548e-07
50.5757,-1.55062e-07
50.5777,-1.54645e-07
50.5797,-1.54227e-07
50.5817,-1.5381e-07
50.5837,-1.53393e-07
50.5857,-1.52975e-07
50.5877,-1.52558e-07
50.5897,-1.52142e-07
50.5917,-1.51725e-07
50.5937,-1.51308e-07
50.5957,-1.50892e-07
50.5977,-1.50476e-07
50.5997,-1.50059e-07
50.6017,-1.49643e-07
50.6037,-1.49227e-07
50.6057,-1.48812e-07
50.6077,-1.48396e-07
50.6097,-1.4798e-07
50.6117,-1.47565e-07
50.6137,-1.4715e-07
50.6157,-1.46734e-07
50.6177,-1.46319e-07
50.6197,-1.45905e-07
50.6217,-1.4549e-07
50.6237,-1.45075e-07
50.6257,-1.44661e-07
50.6277,-1.44246e-07
50.6298,-1.43832e-07
50.6318,-1.43418e-07
50.6338,-1.43004e-07
50.6358,-1.4259e-07
50.6378,-1.42176e-07
50.6398,-1.41763e-07
50.6418,-1.41349e-07
50.6438,-1.40936e-07
50.6458,-1.40522e-07
50.6478,-1.40109e-07
50.6498,-1.39696e-07
50.6518,-1.39283e-07
50.6538,-1.38871e-07
50.6558,-1.38458e-07
50.6578,-1.38046e-07
50.6598,-1.37633e-07
50.6618,-1.37221e-07
50.6638,-1.36809e-07
50.6658,-1.36397e-07
50.6678,-1.35985e-07
50.6698,-1.35574e-07
50.6718,-1.35162e-07
50.6738,-1.34751e-07
50.6758,-1.34339e-07
50.6778,-1.33928e-07
50.6798,-1.33517e-07
50.6818,-1.33106e-07
50.6838,-1.32695e-07
50.6858,-1.32285e-07
50.6878,-1.31874e-07
50.6898,-1.31464e-07
50.6918,-1.31053e-07
50.6938,-1.30643e-07
50.6958,-1.30233e-07
50.6978,-1.29823e-07
50.6998,-1.29413e-07
50.7018,-1.29004e-07
50.7038,-1.28594e-07
50.7058,-1.28185e-07
50.7078,-1.27775e-07
50.7098,-1.27366e-07
50.7118,-1.26957e-07
50.7138,-1.26548e-07
50.7158,-1.2614e-07
50.7178,-1.25731e-07
50.7198,-1.25322e-07
50.7218,-1.24914e-07
50.7238,-1.24506e-07
50.7258,-1.24098e-07
50.7278,-1.2369e-07
50.7299,-1.23282e-07
50.7319,-1.22874e-07
50.7339,-1.22466e-07
50.7359,-1.22059e-07
50.7379,-1.21651e-07
50.7399,-1.21244e-07
50.7419,-1.20837e-07
50.7439,-1.2043e-07
50.7459,-1.20023e-07
50.7479,-1.19616e-07
50.7499,-1.1921e-07
50.7519,-1.18803e-07
50.7539,-1.18397e-07
50.7559,-1.17991e-07
50.7579,-1.17584e-07
50.7599,-1.17179e-07
50.7619,-1.16773e-07
50.7639,-1.16367e-07
50.7659,-1.15961e-07
50.7679,-1.15556e-07
50.7699,-1.1515e-07
50.7719,-1.14745e-07
50.7739,-1.1434e-07
50.7759,-1.13935e-07
50.7779,-1.1353e-07
50.7799,-1.13125e-07
50.7819,-1.12721e-07
50.7839,-1.12316e-07
50.7859,-1.11912e-07
50.7879,-1.11508e-07
50.7899,-1.11104e-07
50.7919,-1.107e-07
50.7939,-1.10296e-07
50.7959,-1.09892e-07
50.7979,-1.09489e-07
50.7999,-1.09085e-07
50.8019,-1.08682e-07
50.8039,-1.08278e-07
50.8059,-1.07875e-07
50.8079,-1.07472e-07
50.8099,-1.0707e-07
50.8119,-1.06667e-07
50.8139,-1.06264e-07
50.8159,-1.05862e-07
50.8179,-1.05459e-07
50.8199,-1.05057e-07
50.8219,-1.04655e-07
50.8239,-1.04253e-07
50.8259,-1.03851e-07
50.8279,-1.0345e-07
50.83,-1.03048e-07
50.832,-1.02646e-07
50.834,-1.02245e-07
50.836,-1.01844e-07
50.838,-1.01443e-07
50.84,-1.01042e-07
50.842,-1.00641e-07
50.844,-1.0024e-07
50.846,-9.98396e-08
50.848,-9.94391e-08
50.85,-9.90388e-08
50.852,-9.86386e-08
50.854,-9.82385e-08
50.856,-9.78385e-08
50.858,-9.74386e-08
50.86,-9.70389e-08
50.862,-9.66393e-08
50.864,-9.62398e-08
50.866,-9.58405e-08
50.868,-9.54412e-08
50.87,-9.50421e-08
50.872,-9.46431e-08
50.874,-9.42443e-08
50.876,-9.38455e-08
50.878,-9.34469e-08
50.88,-9.30484e-08
50.882,-9.26501e-08
50.884,-9.22518e-08
50.886,-9.18537e-08
50.888,-9.14557e-08
50.89,-9.10579e-08
50.892,-9.06601e-08
50.894,-9.02625e-08
50.896,-8.9865e-08
50.898,-8.94676e-08
50.9,-8.90704e-08
50.902,-8.86733e-08
50.904,-8.82763e-08
50.906,-8.78794e-08
50.908,-8.74826e-08
50.91,-8.7086e-08
50.912,-8.66895e-08
50.914,-8.62931e-08
50.916,-8.58968e-08
50.918,-8.55007e-08
50.92,-8.51047e-08
50.922,-8.47088e-08
50.924,-8.4313e-08
50.926,-8.39174e-08
50.928,-8.35219e-08
50.9301,-8.31265e-08
50.9321,-8.27312e-08
50.9341,-8.23361e-08
50.9361,-8.1941e-08
50.9381,-8.15461e-08
50.9401,-8.11514e-08
50.9421,-8.07567e-08
50.9441,-8.03622e-08
50.9461,-7.99678e-08
50.9481,-7.95735e-08
50.9501,-7.91793e-08
50.9521,-7.87853e-08
50.9541,-7.83913e-08
50.9561,-7.79975e-08
50.9581,-7.76039e-08
50.9601,-7.72103e-08
50.9621,-7.68169e-08
50.9641,-7.64236e-08
50.9661,-7.60304e-08
50.9681,-7.56373e-08
50.9701,-7.52444e-08
50.9721,-7.48516e-08
50.9741,-7.44589e-08
50.9761,-7.40663e-08
50.9781,-7.36739e-08
50.9801,-7.32816e-08
50.9821,-7.28894e-08
50.9841,-7.24973e-08
50.9861,-7.21053e-08
50.9881,-7.17135e-08
50.9901,-7.13218e-08
50.9921,-7.09302e-08
50.9941,-7.05387e-08
50.9961,-7.01474e-08
50.9981,-6.97561e-08
51.0001,-6.9365e-08
51.0021,-6.89741e-08
51.0041,-6.85832e-08
51.0061,-6.81925e-08
51.0081,-6.78018e-08
51.0101,-6.74114e-08
51.0121,-6.7021e-08
51.0141,-6.66307e-08
51.0161,-6.62406e-08
51.0181,-6.58506e-08
51.0201,-6.54607e-08
51.0221,-6.5071e-08
51.0241,-6.46813e-08
51.0261,-6.42918e-08
51.0281,-6.39024e-08
51.0302,-6.35131e-08
51.0322,-6.3124e-08
51.0342,-6.2735e-08
51.0362,-6.2346e-08
51.0382,-6.19573e-08
51.0402,-6.15686e-08
51.0422,-6.118e-08
51.0442,-6.07916e-08
51.0462,-6.04033e-08
51.0482,-6.00151e-08
51.0502,-5.96271e-08
51.0522,-5.92391e-08
51.0542,-5.88513e-08
51.0562,-5.84636e-08
51.0582,-5.8076e-08
51.0602,-5.76886e-08
51.0622,-5.73013e-08
51.0642,-5.6914e-08
51.0662,-5.6527e-08
51.0682,-5.614e-08
51.0702,-5.57531e-08
51.0722,-5.53664e-08
51.0742,-5.49798e-08
51.0762,-5.45933e-08
51.0782,-5.42069e-08
51.0802,-5.38207e-08
51.0822,-5.34346e-08
51.0842,-5.30486e-08
51.0862,-5.26627e-08
51.0882,-5.22769e-08
51.0902,-5.18913e-08
51.0922,-5.15058e-08
51.0942,-5.11204e-08
51.0962,-5.07351e-08
51.0982,-5.03499e-08
51.1002,-4.99649e-08
51.1022,-4.958e-08
51.1042,-4.91952e-08
51.1062,-4.88105e-08
51.1082,-4.84259e-08
51.1102,-4.80415e-08
51.1122,-4.76572e-08
51.1142,-4.7273e-08
51.1162,-4.68889e-08
51.1182,-4.6505e-08
51.1202,-4.61211e-08
51.1222,-4.57374e-08
51.1242,-4.53538e-08
51.1262,-4.49703e-08
51.1282,-4.4587e-08
51.1303,-4.42038e-08
51.1323,-4.38206e-08
51.1343,-4.34376e-08
51.1363,-4.30548e-08
51.1383,-4.2672e-08
51.1403,-4.22894e-08
51.1423,-4.19069e-08
51.1443,-4.15245e-08
51.1463,-4.11422e-08
51.1483,-4.076e-08
51.1503,-4.0378e-08
51.1523,-3.99961e-08
51.1543,-3.96143e-08
51.1563,-3.92326e-08
51.1583,-3.8851e-08
51.1603,-3.84696e-08
51.1623,-3.80883e-08
51.1643,-3.77071e-08
51.1663,-3.7326e-08
51.1683,-3.6945e-08
51.1703,-3.65642e-08
51.1723,-3.61835e-08
51.1743,-3.58029e-08
51.1763,-3.54224e-08
51.1783,-3.5042e-08
51.1803,-3.46618e-08
51.1823,-3.42816e-08
51.1843,-3.39016e-08
51.1863,-3.35217e-08
51.1883,-3.3142e-08
51.1903,-3.27623e-08
51.1923,-3.23828e-08
51.1943,-3.20034e-08
51.1963,-3.16241e-08
51.1983,-3.12449e-08
51.2003,-3.08659e-08
51.2023,-3.04869e-08
51.2043,-3.01081e-08
51.2063,-2.97294e-08
51.2083,-2.93508e-08
51.2103,-2.89724e-08
